"Date/Time (PST)","mph (5020') Mt. Baker - Pan Dome"
"4/1/23 6 pm",14.12
"4/1/23 5 pm",16.24
"4/1/23 4 pm",14.83
"4/1/23 3 pm",10.59
"4/1/23 2 pm",16.24
"4/1/23 1 pm",13.41
"4/1/23 12 pm",9.18
"4/1/23 11 am",0
"4/1/23 10 am",7.766
"4/1/23 9 am",10.59
"4/1/23 8 am",15.53
"4/1/23 7 am",10.59
"4/1/23 6 am",10.59
"4/1/23 5 am",9.88
"4/1/23 4 am",14.12
"4/1/23 3 am",14.83
"4/1/23 2 am",25.42
"4/1/23 1 am",35.3
"4/1/23 12 am",36.01
"3/31/23 11 pm",31.06
"3/31/23 10 pm",24.71
"3/31/23 9 pm",38.12
"3/31/23 8 pm",39.54
"3/31/23 7 pm",40.24
"3/31/23 6 pm",33.18
"3/31/23 5 pm",35.3
"3/31/23 4 pm",36.71
"3/31/23 3 pm",39.54
"3/31/23 2 pm",31.06
"3/31/23 1 pm",30.36
"3/31/23 12 pm",37.42
"3/31/23 11 am",34.59
"3/31/23 10 am",33.18
"3/31/23 9 am",32.48
"3/31/23 8 am",33.18
"3/31/23 7 am",31.77
"3/31/23 6 am",34.59
"3/31/23 5 am",33.18
"3/31/23 4 am",32.48
"3/31/23 3 am",35.3
"3/31/23 2 am",28.24
"3/31/23 1 am",26.12
"3/31/23 12 am",25.42
"3/30/23 11 pm",26.12
"3/30/23 10 pm",22.59
"3/30/23 9 pm",26.12
"3/30/23 8 pm",23.3
"3/30/23 7 pm",25.42
"3/30/23 6 pm",27.53
"3/30/23 5 pm",31.06
"3/30/23 4 pm",26.12
"3/30/23 3 pm",21.89
"3/30/23 2 pm",21.18
"3/30/23 1 pm",18.36
"3/30/23 12 pm",16.94
"3/30/23 11 am",13.41
"3/30/23 10 am",9.88
"3/30/23 9 am",5.648
"3/30/23 8 am",6.354
"3/30/23 7 am",9.88
"3/30/23 6 am",14.83
"3/30/23 5 am",15.53
"3/30/23 4 am",15.53
"3/30/23 3 am",13.41
"3/30/23 2 am",11.3
"3/30/23 1 am",11.3
"3/30/23 12 am",9.88
"3/29/23 11 pm",8.47
"3/29/23 10 pm",8.47
"3/29/23 9 pm",12.71
"3/29/23 8 pm",15.53
"3/29/23 7 pm",8.47
"3/29/23 6 pm",7.766
"3/29/23 5 pm",9.88
"3/29/23 4 pm",9.18
"3/29/23 3 pm",12
"3/29/23 2 pm",12
"3/29/23 1 pm",10.59
"3/29/23 12 pm",8.47
"3/29/23 11 am",12
"3/29/23 10 am",9.88
"3/29/23 9 am",9.18
"3/29/23 8 am",5.648
"3/29/23 7 am",10.59
"3/29/23 6 am",11.3
"3/29/23 5 am",12
"3/29/23 4 am",10.59
"3/29/23 3 am",13.41
"3/29/23 2 am",15.53
"3/29/23 1 am",16.94
"3/29/23 12 am",19.77
"3/28/23 11 pm",16.24
"3/28/23 10 pm",12
"3/28/23 9 pm",14.83
"3/28/23 8 pm",27.53
"3/28/23 7 pm",29.65
"3/28/23 6 pm",33.89
"3/28/23 5 pm",27.53
"3/28/23 4 pm",33.89
"3/28/23 3 pm",25.42
"3/28/23 2 pm",30.36
"3/28/23 1 pm",30.36
"3/28/23 12 pm",24.71
"3/28/23 11 am",23.3
"3/28/23 10 am",22.59
"3/28/23 9 am",23.3
"3/28/23 8 am",11.3
"3/28/23 7 am",18.36
"3/28/23 6 am",15.53
"3/28/23 5 am",19.06
"3/28/23 4 am",15.53
"3/28/23 3 am",16.94
"3/28/23 2 am",16.24
"3/28/23 1 am",14.12
"3/28/23 12 am",12
"3/27/23 11 pm",19.06
"3/27/23 10 pm",13.41
"3/27/23 9 pm",13.41
"3/27/23 8 pm",26.12
"3/27/23 7 pm",19.06
"3/27/23 6 pm",14.12
"3/27/23 5 pm",17.65
"3/27/23 4 pm",7.766
"3/27/23 3 pm",11.3
"3/27/23 2 pm",9.88
"3/27/23 1 pm",9.88
"3/27/23 12 pm",10.59
"3/27/23 11 am",9.18
"3/27/23 10 am",7.766
"3/27/23 9 am",7.766
"3/27/23 8 am",7.06
"3/27/23 7 am",4.236
"3/27/23 6 am",5.648
"3/27/23 5 am",5.648
"3/27/23 4 am",4.236
"3/27/23 3 am",4.236
"3/27/23 2 am",3.53
"3/27/23 1 am",0
"3/27/23 12 am",2.824
"3/26/23 11 pm",3.53
"3/26/23 10 pm",6.354
"3/26/23 9 pm",9.18
"3/26/23 8 pm",8.47
"3/26/23 7 pm",12
"3/26/23 6 pm",14.83
"3/26/23 5 pm",13.41
"3/26/23 4 pm",12.71
"3/26/23 3 pm",9.88
"3/26/23 2 pm",7.766
"3/26/23 1 pm",7.766
"3/26/23 12 pm",7.766
"3/26/23 11 am",7.766
"3/26/23 10 am",7.06
"3/26/23 9 am",3.53
"3/26/23 8 am",3.53
"3/26/23 7 am",6.354
"3/26/23 6 am",3.53
"3/26/23 5 am",2.118
"3/26/23 4 am",1.412
"3/26/23 3 am",2.118
"3/26/23 2 am",3.53
"3/26/23 1 am",4.236
"3/26/23 12 am",6.354
"3/25/23 11 pm",4.942
"3/25/23 10 pm",4.236
"3/25/23 9 pm",2.118
"3/25/23 8 pm",3.53
"3/25/23 7 pm",2.118
"3/25/23 6 pm",2.824
"3/25/23 5 pm",1.412
"3/25/23 4 pm",3.53
"3/25/23 3 pm",5.648
"3/25/23 2 pm",4.236
"3/25/23 1 pm",8.47
"3/25/23 12 pm",8.47
"3/25/23 11 am",10.59
"3/25/23 10 am",6.354
"3/25/23 9 am",2.824
"3/25/23 8 am",3.53
"3/25/23 7 am",2.824
"3/25/23 6 am",4.236
"3/25/23 5 am",5.648
"3/25/23 4 am",9.88
"3/25/23 3 am",12
"3/25/23 2 am",12
"3/25/23 1 am",10.59
"3/25/23 12 am",11.3
"3/24/23 11 pm",16.24
"3/24/23 10 pm",12
"3/24/23 9 pm",9.18
"3/24/23 8 pm",12
"3/24/23 7 pm",11.3
"3/24/23 6 pm",17.65
"3/24/23 5 pm",24
"3/24/23 4 pm",29.65
"3/24/23 3 pm",32.48
"3/24/23 2 pm",30.36
"3/24/23 1 pm",28.24
"3/24/23 12 pm",30.36
"3/24/23 11 am",24
